Story_1,Story_2,Story_3,Story_4,Story_5,Story_6,Story_7,Story_8,Story_9,Story_10,Story_11,Story_12,Story_13,Story_14,Story_15,Story_16,Story_17,Story_18,Story_19,Story_20,Ability
1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,-0.472502290511382
2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,1.1766061497087035
1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.1272596435060027
2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,0.8190241354660748
3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,-0.3704007137174702
3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,-0.9113228319126652
3.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.1895906048692875
1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,-0.04050906981727722
3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,-0.8624104309260234
2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0.6995940670677542
1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,-1.0426475304146532
3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0147608567180399
1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0.3748158704982442
3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,0.7226371509000759
1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.020500503794229
2.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,-1.2472236347399421
1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,0.09285971081716138
2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.490391506223303
3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,-2.966344529613822
3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,-0.9761424343392507
1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,-1.6091802215240252
2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.8654760903706713
3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0898721825902431
2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0678132495730683
3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.1829103837224006
2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,-0.16697238780970527
1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,-0.736234757377861
1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.1899682392689082
2.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,-1.2079805982474132
